2010/06/25 08:58:19 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-91 
2010/06/25 08:58:19 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-92 
2010/06/25 08:58:19 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-93 
2010/06/25 08:58:19 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-94 
2010/06/25 08:58:20 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-95 
2010/06/25 08:58:20 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-96 
2010/06/25 08:58:20 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-97 
2010/06/25 08:58:21 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-98 
2010/06/25 08:58:21 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-99 
2010/06/25 08:58:21 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-100 
2010/06/25 08:59:01 INFO  - jmeter.gui.action.Start: Stopping test 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-42 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-42 sampler: Home Page 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-79 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-79 sampler: Home Page 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-28 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-28 sampler: Post 1 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-42 
2010/06/25 08:59:01 INFO  - jmeter.engine.StandardJMeterEngine: Ending thread Thread Group 1-42 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-59 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-59 sampler: Home Page 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-79 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-28 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-27 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-27 sampler: Post 1 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-15 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-15 sampler: Post 1 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-39 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-39 sampler: Post 1 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-96 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-96 sampler: Home Page 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-92 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-92 sampler: Home Page 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
